autor,nome,tonalidade,duracao,estilo
alceu valenca,solidao,e,2:30,mpb
alceu valenca,como dois animais,e,4:00,mpb
andre prando,fantasmas talvez,g,4:00,rock
andre prando,o brother,bm,4:00,rock
andre prando,o verme ama,em,3:30,rock
andre prando,vestido cor maca,f#m,5:30,rock
andre prando,linha torta,em,5:00,rock
andre prando,ultima esperanca,am,4:22,rock
caetano veloso,debaixo dos caracois dos seus cabelos,e,4:00,mpb
caetano veloso,sozinho,d,2:30,mpb
caetano veloso,cajuina,cm,4:30,mpb
cidade dormitorio,agora o meu coracao e um lixeiro azul vazio escroto,c,4:00,rock
cranberries,linger,b,4:30,rock
cranberries,zombie,em,4:40,rock
criolo,nao existe amor em sp,em,3:30,mpb
cicero,falso azul,em,2:40,mpb
djavan,eu te devoro,d,5:00,mpb
dominguinhos,te faco um cafune,g,3:00,mpb
elvis,cant help falling in love with you,d,3:00,rock
engenheiros do hawaii,eu que nao amo voce,em,3:30,rock
esteban,carta aos desinteressados,am,5:00,mpb
falamansa,xote dos milagres,g,4:00,mpb
filme,nao voltar pra tras,a,4:00,rock
gal costa,vapor barato,am,4:00,mpb
geraldo azevedo,dona da minha cabeca,d,3:30,mpb
gilberto gil,exoterico,d,4:20,mpb
iguinho e lulinha,te amar te amar,g,3:30,mpb
jorge ben,jorge da capadocia,em,3:20,mpb
legiao urbana,que pais e esse,em,2:40,rock
leoni,garotos 2,g,4:30,mpb
leoni,por que nao eu,g,3:40,rock
leoni,os outros,b,3:30,rock
museu_do_novo,cade,d,4:00,autoral
museu_do_novo,sou ir,em,4:34,autoral
milton nascimento,um girassol da cor do seu cabelo,am,4:00,mpb
milton nascimento,quem sabe isso quer dizer amor,em,3:30,mpb
nando reis,de janeiro a janeiro,a,3:00,rock
narutinho,o corvo,em,5:00,rock
narutinho,babarundera,g,4:00,mpb
narutinho,lugar nenhum,g,4:00,mpb
nenhum de nos,astronauta de marmore,f,3:40,rock
nirvana,something in the way,em,3:30,rock
os mutantes,meio desligado,em,4:40,rock
paralamas do sucesso,meu erro,e,3:30,rock
paralamas do sucesso,seguindo estrelas,am,4:00,rock
posada,terraco,em,3:00,mpb
pitty,na sua estante,d,3:00,rock
radiohead,creep,e,3:30,rock
raul seixas,cowboy fora da lei,g,3:30,rock
rubel,nuvem,g,3:00,mpb
seu pereira,ja era,em,4:00,rock
seu pereira,eu nao sou boa influencia pra voce,bm,4:40,rock
secos e molhados,sangue latino,g,2:00,mpb
skank,ainda gosto dela,b,3:30,rock
tim maia,ela partiu,am,3:30,mpb
tim maia,mix,?,4:00,mpb
titas,enquanto houver sol,a,2:50,rock
titas,o mundo e bao sebastiao,e,4:00,rock
titas,televisao,a,3:30,rock
titas,flores (simplificada),d,3:00,rock
titas,caras como eu,c,3:00,rock
tom jobim,wave,d,3:00,mpb
tribalistas,eu gosto de voce,f#m,4:00,mpb
tribalistas,um a um,g#m,2:40,mpb
tribalistas,ja sei namorar,em,3:00,mpb
tulipa ruiz,so sei dancar com voce,d,3:30,mpb
vanessa da mata,homem invisivel,cm,4:00,rock
ventania,o diabo e careta,am,3:30,rock
vinicius de moraes,tempo de amor,cm,4:00,mpb
vinicius de moraes,berimbau,dm,,mpb
vinicius de moraes,insensatez,bm,,mpb
vinicius de moraes,canto de ossanha,dm,,mpb
vivendo do ocio,nostalgia,am,3:30,rock
yma,par de olhos,g,3:40,rock
ze vaqueiro,tenho medo,am,3:30,mpb
nacao zumbi,sonho,f,4:30,rock
